Fund Holdings as of,"09/Jan/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2222","SAUDI ARABIAN OIL","Energy","Equity","98,908,189.85","0.28","98,908,189.85","15,683,535.00","6.31","Saudi Arabia","Saudi Stock Exchange","SAR"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","95,382,639.65","0.27","95,382,639.65","380,006.00","251.00","Korea (South)","Korea Exchange (Stock Market)","KRW"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","91,945,584.27","0.26","91,945,584.27","2,584,411.00","35.58","India","National Stock Exchange Of India","INR"
"AXISBANK","AXIS BANK LTD","Financials","Equity","91,650,671.90","0.26","91,650,671.90","6,496,606.00","14.11","India","National Stock Exchange Of India","INR"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","89,975,859.72","0.26","89,975,859.72","8,836,546.00","10.18","Mexico","Bolsa Mexicana De Valores","MXN"
"105560","KB FINANCIAL GROUP INC","Financials","Equity","89,017,993.62","0.26","89,017,993.62","1,025,289.00","86.82","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2899","ZIJIN MINING GROUP LTD H","Materials","Equity","88,033,682.70","0.25","88,033,682.70","17,936,000.00","4.91","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Equity","85,388,656.98","0.25","85,388,656.98","21,144,000.00","4.04","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","85,369,449.34","0.25","85,369,449.34","8,021,401.00","10.64","India","National Stock Exchange Of India","INR"
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","83,329,051.61","0.24","83,329,051.61","31,634,177.00","2.63","Kuwait","Kuwait Stock Exchange","KWD"
"1180","THE SAUDI NATIONAL BANK","Financials","Equity","82,055,661.66","0.24","82,055,661.66","7,635,656.00","10.75","Saudi Arabia","Saudi Stock Exchange","SAR"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","79,742,532.14","0.23","79,742,532.14","9,273,734.00","8.60","Taiwan","Taiwan Stock Exchange","TWD"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","79,680,388.68","0.23","79,680,388.68","1,784,851.00","44.64","India","National Stock Exchange Of India","INR"
"402340","SK SQUARE LTD","Industrials","Equity","79,249,908.45","0.23","79,249,908.45","268,428.00","295.24","Korea (South)","Korea Exchange (Stock Market)","KRW"
"012450","HANWHA AEROSPACE LTD","Industrials","Equity","78,628,802.25","0.23","78,628,802.25","94,442.00","832.56","Korea (South)","Korea Exchange (Stock Market)","KRW"
"FSR","FIRSTRAND LTD","Financials","Equity","78,397,525.24","0.23","78,397,525.24","14,184,783.00","5.53","South Africa","Johannesburg Stock Exchange","ZAR"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","77,658,212.43","0.22","77,658,212.43","23,713,903.00","3.27","Kuwait","Kuwait Stock Exchange","KWD"
"IKSA","ISHARES MSCI SAUDI ARABIA CAPPED","Financials","Equity","76,651,094.45","0.22","76,651,094.45","12,551,350.00","6.11","Ireland","London Stock Exchange","USD"
"EMAAR","EMAAR PROPERTIES","Real Estate","Equity","74,863,835.77","0.22","74,863,835.77","19,095,477.00","3.92","United Arab Emirates","Dubai Financial Market","AED"
