Fund Holdings as of,"09/Jan/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"MCO","MOODYS CORP","Financials","Equity","135,848,682.62","0.10","135,848,682.62","255,542.00","531.61","United States","New York Stock Exchange Inc.","USD"
"INGA","ING GROEP NV","Financials","Equity","135,011,099.13","0.10","135,011,099.13","4,754,210.00","28.40","Netherlands","Euronext Amsterdam","EUR"
"KKR","KKR AND CO INC","Financials","Equity","134,382,585.10","0.10","134,382,585.10","998,014.00","134.65","United States","New York Stock Exchange Inc.","USD"
"WBC","WESTPAC BANKING CORPORATION CORP","Financials","Equity","133,643,197.70","0.10","133,643,197.70","5,277,961.00","25.32","Australia","Asx - All Markets","AUD"
"USB","US BANCORP","Financials","Equity","133,201,136.67","0.10","133,201,136.67","2,412,627.00","55.21","United States","New York Stock Exchange Inc.","USD"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","133,141,321.30","0.10","133,141,321.30","357,110.00","372.83","United States","New York Stock Exchange Inc.","USD"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","132,420,728.70","0.10","132,420,728.70","245,510.00","539.37","Sweden","New York Stock Exchange Inc.","USD"
"PRX","PROSUS NV CLASS N","Consumer Discretionary","Equity","132,349,603.34","0.10","132,349,603.34","2,114,032.00","62.61","Netherlands","Euronext Amsterdam","EUR"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","132,276,359.45","0.10","132,276,359.45","1,147,535.00","115.27","United States","NASDAQ","USD"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","131,834,981.30","0.10","131,834,981.30","345,389.00","381.70","United States","New York Stock Exchange Inc.","USD"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","131,681,956.85","0.10","131,681,956.85","4,804,953.00","27.41","Australia","Asx - All Markets","AUD"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","131,645,818.50","0.10","131,645,818.50","165,270.00","796.55","United States","NASDAQ","USD"
"SHW","SHERWIN WILLIAMS","Materials","Equity","131,032,611.84","0.10","131,032,611.84","370,903.00","353.28","United States","New York Stock Exchange Inc.","USD"
"CS","AXA SA","Financials","Equity","130,954,672.11","0.10","130,954,672.11","2,813,062.00","46.55","France","Nyse Euronext - Euronext Paris","EUR"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","130,266,557.40","0.10","130,266,557.40","1,432,633.00","90.93","Canada","Toronto Stock Exchange","CAD"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","129,886,324.68","0.10","129,886,324.68","602,553.00","215.56","United States","NASDAQ","USD"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","129,369,938.62","0.10","129,369,938.62","592,706.00","218.27","United States","New York Stock Exchange Inc.","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","129,038,127.40","0.10","129,038,127.40","1,375,673.00","93.80","United States","NASDAQ","USD"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","128,682,590.66","0.10","128,682,590.66","2,177,000.00","59.11","Japan","Tokyo Stock Exchange","JPY"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","128,550,131.16","0.10","128,550,131.16","49,810.00","2,580.82","France","Nyse Euronext - Euronext Paris","EUR"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","127,897,969.34","0.10","127,897,969.34","361,406.00","353.89","United States","New York Stock Exchange Inc.","USD"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","127,639,574.00","0.10","127,639,574.00","208,137.00","613.25","Germany","Xetra","EUR"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","127,244,635.00","0.10","127,244,635.00","408,490.00","311.50","United States","New York Stock Exchange Inc.","USD"
"8058","MITSUBISHI CORP","Industrials","Equity","126,912,397.33","0.09","126,912,397.33","5,297,804.00","23.96","Japan","Tokyo Stock Exchange","JPY"
"EMR","EMERSON ELECTRIC","Industrials","Equity","126,693,110.60","0.09","126,693,110.60","878,593.00","144.20","United States","New York Stock Exchange Inc.","USD"
"ABX","BARRICK MINING CORP","Materials","Equity","125,883,149.17","0.09","125,883,149.17","2,628,369.00","47.89","Canada","Toronto Stock Exchange","CAD"
"BA.","BAE SYSTEMS PLC","Industrials","Equity","125,862,650.48","0.09","125,862,650.48","4,568,819.00","27.55","United Kingdom","London Stock Exchange","GBP"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","125,734,756.11","0.09","125,734,756.11","1,517,253.00","82.87","United States","New York Stock Exchange Inc.","USD"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","123,796,112.00","0.09","123,796,112.00","1,877,975.00","65.92","United States","New York Stock Exchange Inc.","USD"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","123,502,895.71","0.09","123,502,895.71","91,763,979.00","1.35","United Kingdom","London Stock Exchange","GBP"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","123,095,430.70","0.09","123,095,430.70","153,802.00","800.35","United States","NASDAQ","USD"
"REL","RELX PLC","Industrials","Equity","123,050,009.39","0.09","123,050,009.39","2,885,518.00","42.64","United Kingdom","London Stock Exchange","GBP"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","122,758,230.27","0.09","122,758,230.27","2,171,559.00","56.53","United States","New York Stock Exchange Inc.","USD"
"CMI","CUMMINS INC","Industrials","Equity","122,583,303.15","0.09","122,583,303.15","222,035.00","552.09","United States","New York Stock Exchange Inc.","USD"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","122,291,414.22","0.09","122,291,414.22","725,722.00","168.51","United States","New York Stock Exchange Inc.","USD"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","121,883,753.30","0.09","121,883,753.30","258,190.00","472.07","United States","New York Stock Exchange Inc.","USD"
"8001","ITOCHU CORP","Industrials","Equity","121,507,889.47","0.09","121,507,889.47","9,567,610.00","12.70","Japan","Tokyo Stock Exchange","JPY"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","121,322,566.94","0.09","121,322,566.94","369,683.00","328.18","United States","NASDAQ","USD"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","120,791,649.30","0.09","120,791,649.30","86,770.00","1,392.09","United States","New York Stock Exchange Inc.","USD"
"CI","CIGNA","Health Care","Equity","120,538,200.30","0.09","120,538,200.30","432,114.00","278.95","United States","New York Stock Exchange Inc.","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","119,724,428.64","0.09","119,724,428.64","1,107,944.00","108.06","United States","New York Stock Exchange Inc.","USD"
"8031","MITSUI LTD","Industrials","Equity","119,467,635.89","0.09","119,467,635.89","3,930,184.00","30.40","Japan","Tokyo Stock Exchange","JPY"
"NG.","NATIONAL GRID PLC","Utilities","Equity","119,073,905.87","0.09","119,073,905.87","7,441,393.00","16.00","United Kingdom","London Stock Exchange","GBP"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","118,918,993.20","0.09","118,918,993.20","1,072,792.00","110.85","United States","New York Stock Exchange Inc.","USD"
"ITX","INDUSTRIA DE DISENO TEXTIL SA","Consumer Discretionary","Equity","117,521,514.60","0.09","117,521,514.60","1,788,077.00","65.73","Spain","Bolsa De Madrid","EUR"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","117,357,901.82","0.09","117,357,901.82","295,265.00","397.47","Japan","Tokyo Stock Exchange","JPY"
"FDX","FEDEX CORP","Industrials","Equity","115,425,453.72","0.09","115,425,453.72","369,527.00","312.36","United States","New York Stock Exchange Inc.","USD"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","114,640,804.08","0.09","114,640,804.08","381,678.00","300.36","United States","New York Stock Exchange Inc.","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","114,591,386.84","0.09","114,591,386.84","2,080,076.00","55.09","United States","NASDAQ","USD"
